loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type
0.00019519698122071142,cable1159159,,195,166,0.0169461796,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741089621762431e-06,cable3338329,,675,909,0.0134062966,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00010045116892239002,geo_schematic_cable60888,,178,231,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1518371903212201e-05,cable1127874,,237,898,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.759183187855799e-06,cable3338949,,70,1153,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662619344234469e-06,cable3342932,,256,999,0.020148163700000003,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662622276952655e-06,cable3338253,,383,1139,0.0110871083,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662625604244003e-06,cable3338224,,756,962,0.0117522853,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00032888610795760647,busbar85068,,534,855,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.493241974959617e-06,simulated103968671_324538,,458,528,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
7.463419502818085e-05,cable1119137,,156,273,0.0256535492,0.001,0.001,0.001,0.0,1000.0,1.0,
5.662613916049241e-06,cable1137900,,568,1047,0.0167339287,0.001,0.001,0.001,0.0,1000.0,1.0,
3.399152161449496e-05,cable1181390,,186,229,0.0382591068,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1325254141201218e-05,cable1215072,,375,86,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
1.7223282026191396e-05,cable1245338,,438,157,0.0172289181,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00048107499031234277,geo_schematic_cable1846,,1244,1227,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
5.741086978965369e-06,cable3336726,,767,1156,0.0149716842,0.001,0.001,0.001,0.0,1000.0,1.0,
0.0006212811382133158,cable1200969,,287,1226,0.10207880400000001,0.1443,0.3363,0.001,0.0,1000.0,1.0,
1.1330472317033298e-05,cable3338644,,330,108,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
3.780746696412164e-12,cable2768858,,641,259,0.018921546299999998,0.1274,0.093,0.001,0.0,1000.0,1.0,
7.463414435234944e-05,geo_schematic_cable332947,,479,1172,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,
0.00010192714013928886,cable1216725,,568,727,0.041977511300000006,0.001,0.001,0.001,0.0,1000.0,1.0,
1.1086322930341236e-05,cable1137465,,98,123,0.0112855991,0.001,0.001,0.001,0.0,1000.0,1.0,
