loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu,name_NODE1,vn_kv,x,y
0.00019519698122071142,cable1159159,,195,166,0.0169461796,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772334415849,node69935927,11.0,152.921154,-31.4701097
5.741096461185043e-06,cable1197746,,195,791,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772334415849,node69935927,11.0,152.921154,-31.4701097
1.1482179398478518e-05,cable1207116,,195,633,0.0175780047,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772334415849,node69935927,11.0,152.921154,-31.4701097
5.741089621762431e-06,cable3338329,,675,909,0.0134062966,0.001,0.001,0.001,0.0,1000.0,1.0,,0.954477208341655,cubicle50485,11.0,152.921826,-31.4701117
2.870545059451254e-05,cable1199340,,675,24,0.0684369165,0.001,0.001,0.001,0.0,1000.0,1.0,,0.954477208341655,cubicle50485,11.0,152.921826,-31.4701117
7.463413207237545e-05,cable1114865,,675,411,0.024119499000000003,0.001,0.001,0.001,0.0,1000.0,1.0,,0.954477208341655,cubicle50485,11.0,152.921826,-31.4701117
0.00010045116892239002,geo_schematic_cable60888,,178,231,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9819235150764661,node61343056,11.0,152.922346,-31.4677386
1.1518371903212201e-05,cable1127874,,237,898,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.951477710802456,node69936339,11.0,152.912351,-31.466795
0.0,cable1210321,,237,1002,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.951477710802456,node69936339,11.0,152.912351,-31.466795
1.1518383514408213e-05,cable1136224,,237,28,0.0150601889,0.001,0.001,0.001,0.0,1000.0,1.0,,0.951477710802456,node69936339,11.0,152.912351,-31.466795
5.759183187855799e-06,cable3338949,,70,1153,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777764355484,cubicle35620,11.0,152.914715,-31.4667233
5.759183187855799e-06,cable3338950,,70,371,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9514777764355484,cubicle35620,11.0,152.914715,-31.4667233
5.662619344234469e-06,cable3342932,,256,999,0.020148163700000003,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038393450357,node23529726,11.0,152.911719,-31.4654863
5.6626170460536545e-06,cable3338859,,256,90,0.015446101799999999,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038393450357,node23529726,11.0,152.911719,-31.4654863
5.662622276952655e-06,cable3338253,,383,1139,0.0110871083,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038408061777,cubicle43985,11.0,152.911958,-31.4686584
5.662616411523204e-06,cable3338254,,383,1005,0.0127470565,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038408061777,cubicle43985,11.0,152.911958,-31.4686584
5.662625604244003e-06,cable3338224,,756,962,0.0117522853,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038311488372,cubicle41727,11.0,152.910918,-31.467533
5.6626193442344685e-06,cable3338223,,756,1209,0.011538119,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038311488372,cubicle41727,11.0,152.910918,-31.467533
0.00032888610795760647,busbar85068,,534,855,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9984463100893185,node24046367,11.0,152.905817,-31.4652987
5.493241974959617e-06,simulated103968671_324538,,458,528,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9975416687318761,cn-simulated103968671_324538-t1,11.0,152.91839,-31.4680659
7.463419502818085e-05,cable1119137,,156,273,0.0256535492,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772505983286,node69935554,11.0,152.920533,-31.4719448
5.741092833468676e-06,cable1122795,,156,875,0.0306543446,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772505983286,node69935554,11.0,152.920533,-31.4719448
5.662613916049241e-06,cable1137900,,568,1047,0.0167339287,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038450424964,node69876702,11.0,152.911794,-31.4675998
0.00010192714013928886,cable1216725,,568,727,0.041977511300000006,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038450424964,node69876702,11.0,152.911794,-31.4675998
1.1325241621185393e-05,cable1122081,,568,749,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038450424964,node69876702,11.0,152.911794,-31.4675998
3.399152161449496e-05,cable1181390,,186,229,0.0382591068,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543846763444,node67195367,11.0,152.905748,-31.4661841
1.1330494439184216e-05,cable1184230,,186,703,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543846763444,node67195367,11.0,152.905748,-31.4661841
1.1325254141201218e-05,cable1215072,,375,86,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038538172199,node69876678,11.0,152.912397,-31.4676119
0.00011891498254331297,cable2788248,,375,568,0.0376356102,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038538172199,node69876678,11.0,152.912397,-31.4676119
1.1325254775736555e-05,cable1177520,,375,374,0.0180251478,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038538172199,node69876678,11.0,152.912397,-31.4676119
1.7223282026191396e-05,cable1245338,,438,157,0.0172289181,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772130362704,node69936185,11.0,152.921743,-31.4692912
0.0,cable1198540,,438,932,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772130362704,node69936185,11.0,152.921743,-31.4692912
