,name,vn_kv,type,x,y,coords
0,cubicle44692,11.0,b,152.914162,-31.4666162,
1,node23009517,11.0,b,152.900194,-31.4667549,
2,cubicle34905,11.0,b,152.911395,-31.4681702,
3,cn-cable3338924-t2,11.0,b,152.91469,-31.4660149,
4,cn-cable3336386-t2,11.0,b,152.922058,-31.4710537,
5,cubicle77077,11.0,b,152.920621,-31.4682263,
6,node70366883,11.0,b,152.915957,-31.4676811,
7,cubicle46270,11.0,b,152.910978,-31.4673746,
8,node84625589,11.0,b,152.915965,-31.4676739,
9,cn-busbar87065-t2,11.0,b,152.895621,-31.4649457,
10,cn-cable3338140-t2,11.0,b,152.915135,-31.4680736,
11,cn-cable3336350-t2,11.0,b,152.920664,-31.4704252,
12,cn-cable3338488-t2,11.0,b,152.904895,-31.4640864,
13,node71578342,11.0,b,152.913339,-31.4661979,
14,node67194728,11.0,b,152.905585,-31.4651778,
15,cn-busbar85065-t2,11.0,b,152.905914,-31.4653116,
16,cubicle40258,11.0,b,152.916164,-31.4685439,
17,node67831068,11.0,b,152.894853,-31.4623576,
18,node84338613,11.0,b,152.918999,-31.4706014,
19,node57577398,11.0,b,152.905987,-31.4653164,
20,node23032596,11.0,b,152.916345,-31.467764,
21,node101118603,11.0,b,152.911642,-31.4658949,
22,node71579154,11.0,b,152.915917,-31.466677,
23,node69935686,11.0,b,152.921789,-31.47137,
24,node69936064,11.0,b,152.921651,-31.4706183,
25,node71243238,11.0,b,152.895613,-31.4621762,
26,cn-cable3338903-t2,11.0,b,152.914045,-31.4666374,
27,node23166608,11.0,b,152.9226,-31.4686532,
28,cubicle33471,11.0,b,152.912196,-31.4667672,
29,cn-cable3336711-t2,11.0,b,152.921407,-31.4720306,
30,node57577382,11.0,b,152.905991,-31.4653382,
31,node23319268,11.0,b,152.9115,-31.4666464,
32,node29539535,11.0,b,152.896387,-31.4623792,
33,cn-cable3338686-t2,11.0,b,152.906638,-31.4651333,
34,cn-busbar87095-t2,11.0,b,152.896037,-31.4675054,
35,node101117404,11.0,b,152.904708,-31.464664,
36,node69935711,11.0,b,152.920944,-31.4708825,
37,node153774208,11.0,b,152.920916,-31.4687574,
38,cn-cable3341625-t2,11.0,b,152.894735,-31.4633268,
39,cubicle68128,11.0,b,152.922434,-31.4708289,
40,cubicle39128,11.0,b,152.912267,-31.4664208,
41,cubicle44233,11.0,b,152.906695,-31.4663417,
42,node69935742,11.0,b,152.920937,-31.4708676,
43,node69936246,11.0,b,152.922184,-31.4694254,
44,node67193396,11.0,b,152.91625,-31.4684071,
45,cn-cable3336381-t2,11.0,b,152.922089,-31.4700814,
46,cubicle43784,11.0,b,152.920397,-31.4716794,
47,node57577381,11.0,b,152.905983,-31.4653252,
48,cn-cable3256246-t2,11.0,b,152.92222,-31.4686836,
49,cn-geo_schematic_cable22427-t1,11.0,b,152.920951,-31.4708611,
50,cn-cable3339094-t2,11.0,b,152.918326,-31.4682181,
51,cn-cable3336359-t2,11.0,b,152.921829,-31.4690921,
52,cn-geo_schematic_cable23100-t1,11.0,b,152.922343,-31.4684329,
53,cubicle38103,11.0,b,152.920792,-31.4710165,
54,node29539599,11.0,b,152.896835,-31.4628479,
55,node67195826,11.0,b,152.907327,-31.4660347,
56,cubicle77073,11.0,b,152.922017,-31.4684283,
57,node22958791,11.0,b,152.922699,-31.4701031,
58,node71578497,11.0,b,152.914539,-31.4671013,
59,cubicle97112,11.0,b,152.920814,-31.4682528,
60,node23427399,11.0,b,152.904518,-31.4626351,
61,node69877101,11.0,b,152.912688,-31.4681489,
62,cubicle42428,11.0,b,152.915858,-31.466042,
63,cubicle44837,11.0,b,152.921639,-31.4706204,
64,node67194544,11.0,b,152.904869,-31.4650082,
65,cn-cable3338665-t2,11.0,b,152.906427,-31.4656062,
66,node245104988,11.0,b,152.922551,-31.4686921,
67,node24502843,11.0,b,152.915972,-31.4676748,
68,cn-cable3336714-t2,11.0,b,152.921606,-31.4724037,
69,node29539546,11.0,b,152.896277,-31.4622524,
70,cubicle35620,11.0,b,152.914715,-31.4667233,
71,node24039692,11.0,b,152.92103,-31.4708527,
72,node74598367,11.0,b,152.912475,-31.4679288,
73,node23019771,11.0,b,152.918009,-31.4680104,
74,cn-cable3336716-t2,11.0,b,152.921581,-31.4728009,
75,node29539823,11.0,b,152.899249,-31.4658981,
76,cn-cable3338201-t2,11.0,b,152.914423,-31.469089,
77,cn-cable3338740-t2,11.0,b,152.906827,-31.4648917,
78,node67193282,11.0,b,152.915244,-31.4689492,
79,node67193200,11.0,b,152.914839,-31.4682144,
80,cubicle35614,11.0,b,152.915229,-31.4657073,
81,cn-simulated23032596_100931-t2,11.0,b,152.916343,-31.4677726,
82,cubicle49345,11.0,b,152.921765,-31.4699278,
83,node36726543,11.0,b,152.922026,-31.4684419,
84,node22985154,11.0,b,152.921144,-31.4713401,
85,node65782830,11.0,b,152.910918,-31.4679592,
86,cubicle45120,11.0,b,152.912397,-31.4676132,
87,cn-cable3338204-t2,11.0,b,152.91419,-31.4687842,
88,cn-cable3338474-t2,11.0,b,152.905889,-31.465585,
89,cn-cable1201724-t2,11.0,b,152.900198,-31.4670792,
90,cn-cable3338859-t2,11.0,b,152.911811,-31.4656011,
91,cn-geo_schematic_cable25611-t1,11.0,b,152.895616,-31.4649294,
92,node67831042,11.0,b,152.894447,-31.4624494,
93,node65782798,11.0,b,152.911174,-31.4674786,
94,node59740707,11.0,b,152.912414,-31.4676206,
95,cubicle36297,11.0,b,152.904872,-31.4649949,
96,cubicle37892,11.0,b,152.913834,-31.4671045,
97,cubicle33467,11.0,b,152.914179,-31.4691294,
98,cubicle41037,11.0,b,152.894173,-31.4632754,
99,cubicle46713,11.0,b,152.894776,-31.4625294,
100,cn-cable3338148-t2,11.0,b,152.91695,-31.4684469,
101,cubicle102861,11.0,b,152.910787,-31.4678319,
102,node67193624,11.0,b,152.918544,-31.4682765,
103,cn-geo_schematic_cable27524-t2,11.0,b,152.914668,-31.4667337,
104,cubicle69503,11.0,b,152.904949,-31.4634754,
105,cn-geo_schematic_cable380329-t1,11.0,b,152.895608,-31.4649101,
106,cn-cable3338181-t2,11.0,b,152.915252,-31.4690406,
107,node102021130,11.0,b,152.917665,-31.4686577,
108,cubicle69500,11.0,b,152.904743,-31.4644956,
109,node69935372,11.0,b,152.921568,-31.4722963,
110,cn-geo_schematic_cable1841-t2,11.0,b,152.914661,-31.4667616,
111,cn-cable3338172-t2,11.0,b,152.916566,-31.4686192,
112,cubicle45981,11.0,b,152.921795,-31.4706225,
113,node29539706,11.0,b,152.901546,-31.4666928,
114,cn-cable3336363-t2,11.0,b,152.922016,-31.4694526,
115,node79636605,11.0,b,152.921534,-31.4683737,
116,cn-cable3338913-t2,11.0,b,152.913336,-31.4661787,
117,node71578449,11.0,b,152.914272,-31.4664957,
118,node84338515,11.0,b,152.919042,-31.4705945,
119,node57577378,11.0,b,152.905996,-31.4652987,
120,cn-cable3338487-t2,11.0,b,152.904929,-31.4639163,
121,cubicle46861,11.0,b,152.906756,-31.4651631,
122,cn-cable3338932-t2,11.0,b,152.915293,-31.4656528,
123,cubicle38771,11.0,b,152.894282,-31.4633082,
124,node69935532,11.0,b,152.920895,-31.4716813,
125,node71579238,11.0,b,152.914964,-31.4676044,
126,node71578696,11.0,b,152.912876,-31.4669786,
