name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable1508103,,1122,412,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated22959534_100929,,69,342,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2727646,,341,527,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338478,,428,842,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1132121,,83,775,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338913,,517,173,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338748,,640,857,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2879802,,19,803,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable235943,,108,134,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338288,,854,1069,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable34381,,225,869,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1215066,,323,621,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339671,,335,126,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar255622,,479,423,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338486,,58,644,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339048,,1119,450,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338644,,350,60,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508108,,545,223,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable119592,,307,571,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1150448,,154,640,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1158124,,229,336,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338171,,122,945,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336359,,833,562,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2781901,,478,441,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1221269,,519,805,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
