name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point2535394,788,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point591984,586,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point665289,1210,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747276,37,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point671391,369,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614729,709,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point644016,527,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point638529,848,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841971,842,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point641616,486,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point669650,755,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747552,976,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point612264,1151,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point619562,540,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648939,778,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747059,239,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point603105,945,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747259,538,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point606765,1099,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842019,126,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point566391,1222,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point682827,955,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747275,392,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835299,208,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point568317,99,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841654,47,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835296,1214,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747269,1202,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point563455,894,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point577347,20,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535401,652,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point653175,1105,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point652600,1049,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point672734,981,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535400,1221,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1806232,349,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621955,1159,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747656,1053,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point655037,868,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point658010,1217,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2583610,1174,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747307,269,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point586518,860,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748589,779,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point655021,1050,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point672644,949,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point604933,763,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747529,1095,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point656839,1079,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point615842,1037,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746835,125,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746834,296,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point669002,1127,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point581083,72,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point579295,1114,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535399,900,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point630526,212,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747526,1201,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point566482,852,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point633028,422,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748091,189,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748496,653,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point575598,504,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835295,1098,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point601278,745,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2610300,584,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535392,806,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point634194,1136,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point670860,515,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point662128,402,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point562853,1016,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584018,1173,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621458,473,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point623781,87,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point648801,1044,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point579207,924,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535402,764,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point581037,1123,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632440,1184,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point641574,568,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746880,1206,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point659891,1089,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2516294,1180,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584659,1088,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point617766,732,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point650517,472,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654338,1135,0.001,0.0003,0.0,0.0,,1.0,True,wye
