name,vn_kv,type,zone,in_service
node67195187,0.415,b,,True
node36726543,0.415,b,,True
cubicle37996,0.415,b,,True
cn-busbar355174-t2,11.0,b,,True
node71579002,0.415,b,,True
cubicle40584,0.415,b,,True
cn-geo_schematic_cable1841-t2,0.415,b,,True
node161553414,11.0,b,,True
node58449850,0.415,b,,True
cn-cable3269444-t2,0.415,b,,True
cn-cable3338949-t2,0.415,b,,True
cn-cable3338324-t2,0.415,b,,True
node29539621,0.415,b,,True
node22943850,0.415,b,,True
node23121435,11.0,b,,True
node23107372,11.0,b,,True
node69935613,0.415,b,,True
node67195771,0.415,b,,True
cn-geo_schematic_cable27949-t1,0.415,b,,True
cn-cable3338329-t2,0.415,b,,True
node69936246,0.415,b,,True
cn-cable3339040-t2,0.415,b,,True
node57578180,0.415,b,,True
cubicle50571,0.415,b,,True
node23398575,11.0,b,,True
cubicle46265,0.415,b,,True
cubicle39028,0.415,b,,True
node61288125,0.415,b,,True
cubicle44801,0.415,b,,True
node36726535,0.415,b,,True
cubicle47655,0.415,b,,True
node67194604,0.415,b,,True
cubicle37985,0.415,b,,True
cubicle49329,0.415,b,,True
cn-simulated23032596_100931-t2,0.415,b,,True
node67194728,0.415,b,,True
node65782890,0.415,b,,True
cubicle42546,0.415,b,,True
node74192374,0.415,b,,True
cn-cable3338953-t2,0.415,b,,True
node69935372,0.415,b,,True
cubicle43093,0.415,b,,True
node67195498,0.415,b,,True
cn-cable3336711-t2,0.415,b,,True
cubicle38771,0.415,b,,True
cubicle43565,0.415,b,,True
cubicle43985,0.415,b,,True
node23378216,11.0,b,,True
cubicle40264,0.415,b,,True
cn-geo_schematic_cable235942-t2,0.415,b,,True
cubicle46514,0.415,b,,True
cn-cable3336326-t2,0.415,b,,True
cn-cable3338478-t2,0.415,b,,True
cubicle77077,0.415,b,,True
cubicle44233,0.415,b,,True
node23319269,0.415,b,,True
cubicle46068,0.415,b,,True
node84625474,0.415,b,,True
cn-cable3336352-t2,0.415,b,,True
cn-cable1224849-t2,11.0,b,,True
node161553407,11.0,b,,True
cn-cable2727645-t2,0.415,b,,True
node74192759,0.415,b,,True
cn-cable1115303-t1,0.415,b,,True
cn-cable3338991-t2,0.415,b,,True
node67195412,0.415,b,,True
node22958791,0.415,b,,True
node74191979,0.415,b,,True
node23319268,0.415,b,,True
cubicle111008,0.415,b,,True
cn-cable3338211-t2,0.415,b,,True
node71579091,0.415,b,,True
node67196002,0.415,b,,True
cubicle41298,0.415,b,,True
cubicle48772,0.415,b,,True
cubicle40156,0.415,b,,True
cn-cable1218152-t1,11.0,b,,True
cubicle44807,0.415,b,,True
node71578689,0.415,b,,True
cubicle42428,0.415,b,,True
cubicle35620,0.415,b,,True
cubicle41409,0.415,b,,True
node101119362,0.415,b,,True
node67830826,0.415,b,,True
cubicle45120,0.415,b,,True
cubicle50767,0.415,b,,True
cubicle47088,0.415,b,,True
node156687033,0.415,b,,True
node35592335,0.415,b,,True
cubicle36749,0.415,b,,True
cn-cable3338210-t2,0.415,b,,True
node71578611,0.415,b,,True
cn-cable3338926-t2,0.415,b,,True
node84230737,11.0,b,,True
node57577377,0.415,b,,True
node67195764,0.415,b,,True
cubicle38012,0.415,b,,True
cn-cable3338259-t2,0.415,b,,True
node24056448,11.0,b,,True
cn-cable3336358-t2,0.415,b,,True
node24069238,11.0,b,,True
cn-cable3338647-t2,0.415,b,,True
node24056328,11.0,b,,True
cn-cable3336328-t2,0.415,b,,True
cn-cable3338933-t2,0.415,b,,True
cn-cable1152508-t2,11.0,b,,True
node67193326,0.415,b,,True
node23198147,0.415,b,,True
node79493008,0.415,b,,True
cn-geo_schematic_cable14365-t2,0.415,b,,True
cubicle45981,0.415,b,,True
cn-cable3339128-t2,0.415,b,,True
cubicle35717,0.415,b,,True
node101116426,0.415,b,,True
cubicle42435,0.415,b,,True
cn-cable3338289-t2,0.415,b,,True
node23019771,0.415,b,,True
cubicle47839,0.415,b,,True
node71578408,0.415,b,,True
cn-cable1188760-t1,11.0,b,,True
node153774263,0.415,b,,True
node69935927,0.415,b,,True
cn-cable3338878-t2,0.415,b,,True
node84145216,11.0,b,,True
node23148406,11.0,b,,True
node71579187,0.415,b,,True
node36726511,0.415,b,,True
cn-cable3338216-t2,0.415,b,,True
node84142367,11.0,b,,True
node23107373,11.0,b,,True
cn-cable3338221-t2,0.415,b,,True
node60264186,0.415,b,,True
cubicle42924,0.415,b,,True
cubicle41535,0.415,b,,True
node69877043,0.415,b,,True
cn-simulated23052190_40598-t2,11.0,b,,True
cubicle49434,0.415,b,,True
node71579058,0.415,b,,True
cubicle110989,0.415,b,,True
cubicle50353,0.415,b,,True
node69877101,0.415,b,,True
node57577382,0.415,b,,True
cubicle37179,0.415,b,,True
