premnum,Load
438927,0.9480000000000001
438949,0.036
438980,1.124
438981,0.164
439005,0.16799999999999998
444126,0.49
444131,0.072
444135,0.146
444140,1.5
444164,0.32
444173,0.182
444308,0.866
444314,0.044000000000000004
444317,0.138
444357,0.172
444371,0.134
475188,0.128
476397,2.086
476618,0.11
476970,0.092
477010,0.584
477942,0.11
478315,0.502
478396,0.394
481069,0.176
482294,0.506
496917,0.126
647438,0.14
648064,0.128
649399,0.19999999999999998
744294,0.096
744841,0.15
746611,0.027999999999999997
747934,0.976
747989,1.6960000000000002
752357,0.446
756260,0.58
757275,1.604
757512,0.146
759500,0.060000000000000005
760456,0.286
761979,0.794
763313,0.934
764832,1.228
765615,1.3639999999999999
765677,0.20400000000000001
769379,3.246
769725,0.31
772713,0.12
773393,0.042
774230,1.032
800769,1.12
891240,0.084
907485,0.628
1307338,1.596
2317935,0.019999999999999997
2318435,0.098
2318438,0.294
2318439,0.046
2318440,0.044
2318442,0.036000000000000004
2318444,0.5
2318445,0.08399999999999999
2318446,0.118
2318447,0.06
2318448,0.072
2318449,0.112
2318454,0.31
2318456,0.156
2318457,0.226
2318458,0.064
2318459,0.058
2318460,0.088
2318461,0.114
2318462,0.196
2318463,0.538
2318464,0.118
2318465,0.298
2318467,0.16
2318487,0.088
2318489,0.076
2318491,0.7
2318493,0.178
2318495,0.152
2318496,0.124
2318497,0.356
2318499,0.098
2318502,0.114
2318503,0.276
2318504,0.1
2318505,0.274
2318506,0.526
2318527,0.055999999999999994
2318528,0.568
2318530,0.05
2318531,0.124
2318532,0.35800000000000004
2318534,0.242
2318537,0.066
2318538,0.096
2318539,0.094
2318540,0.194
2318543,0.086
2318544,0.060000000000000005
2318912,0.057999999999999996
2318938,0.166
2318941,0.1
2319085,0.086
2319086,0.252
2319087,0.318
2319088,0.11399999999999999
2319089,0.11
2319090,0.238
2319094,1.236
2319122,0.136
2319124,0.148
2319125,0.156
2319126,0.206
2319127,1.206
2319130,0.09
2319133,0.046
2319134,0.276
2319135,0.25
2319136,0.07800000000000001
2319138,0.102
2319140,0.128
2319143,0.126
2319147,0.078
2319168,0.018000000000000002
2319171,0.1
2319173,0.104
2319524,0.354
2319553,0.06
2319556,0.08600000000000001
2319583,0.09
2319588,0.102
2319589,0.068
2319627,0.39999999999999997
2319629,0.206
2319630,0.132
2319631,0.07
2319633,0.104
2319655,0.114
2319656,0.068
2319658,0.02
2319679,0.16
2319683,0.454
2319684,0.09
2319686,1.736
2319687,0.078
2319688,0.044
2319689,0.9620000000000001
2319709,0.016
2319710,0.146
2319711,0.14800000000000002
2319713,0.076
2319716,0.08199999999999999
2319717,0.08199999999999999
2319742,0.104
2319743,0.156
2319744,0.398
2319746,0.06
2319747,0.122
2319748,0.092
2319749,0.206
2319750,0.052
2322107,0.27
2322131,0.126
2322134,0.328
2322142,0.09
2322158,0.104
2322177,0.084
2322183,0.986
2322211,0.07
2322246,0.546
2322248,0.678
2322252,0.37
2322258,0.198
2322287,0.174
2322294,0.124
2322321,0.188
2322323,0.122
2322324,0.088
2322325,0.23
2322661,0.116
2322662,0.104
2322685,0.128
2322687,0.18
2322689,0.17200000000000001
2322690,0.562
2322716,0.96
2322719,0.055999999999999994
2322721,0.092
2322745,0.29
2322747,0.10400000000000001
2322749,0.34600000000000003
2322762,0.132
2322763,0.106
2322783,0.098
2322784,0.07
2322787,0.064
2322821,0.304
2325965,0.114
2325970,0.232
2325971,0.094
2325972,0.362
2325973,0.142
2325974,0.074
2327311,0.16
2327384,0.07999999999999999
2331642,0.06
2331682,0.33
2331702,0.056
2335502,0.052
2356255,0.236
2382198,0.046
2388980,0.122
2410436,0.294
2426958,0.38
435525,0.292146118721461
438903,0.292146118721461
438910,0.292146118721461
438911,0.292146118721461
438912,0.292146118721461
438922,0.292146118721461
438923,0.292146118721461
438924,0.292146118721461
438926,0.292146118721461
438928,0.292146118721461
438929,0.292146118721461
438930,0.292146118721461
438931,0.292146118721461
438932,0.292146118721461
438933,0.292146118721461
438934,0.292146118721461
438935,0.292146118721461
438936,0.292146118721461
438937,0.292146118721461
438938,0.292146118721461
438939,0.292146118721461
438940,0.292146118721461
438941,0.292146118721461
438942,0.292146118721461
438943,0.292146118721461
438944,0.292146118721461
438945,0.292146118721461
438946,0.292146118721461
438947,0.292146118721461
438948,0.292146118721461
438950,0.292146118721461
438951,0.292146118721461
438952,0.292146118721461
438953,0.292146118721461
438954,0.292146118721461
438955,0.292146118721461
438956,0.292146118721461
438957,0.292146118721461
438958,0.292146118721461
438959,0.292146118721461
438960,0.292146118721461
438961,0.292146118721461
438962,0.292146118721461
438963,0.292146118721461
438964,0.292146118721461
438965,0.292146118721461
438966,0.292146118721461
438967,0.292146118721461
438968,0.292146118721461
438969,0.292146118721461
438970,0.292146118721461
438971,0.292146118721461
438972,0.292146118721461
438973,0.292146118721461
438974,0.292146118721461
438976,0.292146118721461
438977,0.292146118721461
438978,0.292146118721461
438979,0.292146118721461
438982,0.292146118721461
438983,0.292146118721461
438984,0.292146118721461
438985,0.292146118721461
438986,0.292146118721461
438987,0.292146118721461
438988,0.292146118721461
438989,0.292146118721461
438990,0.292146118721461
438991,0.292146118721461
438992,0.292146118721461
438993,0.292146118721461
438994,0.292146118721461
438995,0.292146118721461
438996,0.292146118721461
438997,0.292146118721461
438998,0.292146118721461
438999,0.292146118721461
439000,0.292146118721461
439001,0.292146118721461
439002,0.292146118721461
439003,0.292146118721461
439004,0.292146118721461
444115,0.292146118721461
444116,0.292146118721461
444117,0.292146118721461
444118,0.292146118721461
444119,0.292146118721461
444120,0.292146118721461
444121,0.292146118721461
444122,0.292146118721461
444123,0.292146118721461
444124,0.292146118721461
444125,0.292146118721461
444127,0.292146118721461
444128,0.292146118721461
444129,0.292146118721461
444130,0.292146118721461
444132,0.292146118721461
444133,0.292146118721461
444134,0.292146118721461
444136,0.292146118721461
444137,0.292146118721461
444138,0.292146118721461
444139,0.292146118721461
444141,0.292146118721461
444142,0.292146118721461
444143,0.292146118721461
444144,0.292146118721461
444145,0.292146118721461
444146,0.292146118721461
444147,0.292146118721461
444148,0.292146118721461
444149,0.292146118721461
444150,0.292146118721461
444151,0.292146118721461
444152,0.292146118721461
444153,0.292146118721461
444154,0.292146118721461
444155,0.292146118721461
444156,0.292146118721461
444157,0.292146118721461
444158,0.292146118721461
444159,0.292146118721461
444160,0.292146118721461
444162,0.292146118721461
444163,0.292146118721461
444165,0.292146118721461
444166,0.292146118721461
444167,0.292146118721461
444168,0.292146118721461
444169,0.292146118721461
444170,0.292146118721461
444171,0.292146118721461
444172,0.292146118721461
444300,0.292146118721461
444301,0.292146118721461
444302,0.292146118721461
444303,0.292146118721461
444304,0.292146118721461
444305,0.292146118721461
444306,0.292146118721461
444307,0.292146118721461
444309,0.292146118721461
444310,0.292146118721461
444311,0.292146118721461
444312,0.292146118721461
444313,0.292146118721461
444315,0.292146118721461
444316,0.292146118721461
444318,0.292146118721461
444319,0.292146118721461
444320,0.292146118721461
444321,0.292146118721461
444323,0.292146118721461
444324,0.292146118721461
444325,0.292146118721461
444326,0.292146118721461
444327,0.292146118721461
444328,0.292146118721461
444329,0.292146118721461
444330,0.292146118721461
444331,0.292146118721461
444332,0.292146118721461
444333,0.292146118721461
444334,0.292146118721461
444335,0.292146118721461
444336,0.292146118721461
444337,0.292146118721461
444338,0.292146118721461
444339,0.292146118721461
444340,0.292146118721461
444341,0.292146118721461
444345,0.292146118721461
444346,0.292146118721461
444347,0.292146118721461
444348,0.292146118721461
444349,0.292146118721461
444350,0.292146118721461
444351,0.292146118721461
444352,0.292146118721461
444353,0.292146118721461
444354,0.292146118721461
444355,0.292146118721461
444356,0.292146118721461
444358,0.292146118721461
444359,0.292146118721461
444360,0.292146118721461
444361,0.292146118721461
444362,0.292146118721461
444363,0.292146118721461
444364,0.292146118721461
444365,0.292146118721461
444366,0.292146118721461
444367,0.292146118721461
444368,0.292146118721461
444369,0.292146118721461
444370,0.292146118721461
444372,0.292146118721461
444373,0.292146118721461
444374,0.292146118721461
474800,0.292146118721461
475124,0.292146118721461
475125,0.292146118721461
475126,0.292146118721461
475127,0.292146118721461
475128,0.292146118721461
475129,0.292146118721461
475142,0.292146118721461
475185,0.292146118721461
475189,0.292146118721461
475190,0.292146118721461
475291,0.292146118721461
475292,0.292146118721461
475427,0.292146118721461
475428,0.292146118721461
475451,0.292146118721461
475585,0.292146118721461
475630,0.292146118721461
475667,0.292146118721461
475673,0.292146118721461
475683,0.292146118721461
475880,0.292146118721461
475955,0.292146118721461
475956,0.292146118721461
475958,0.292146118721461
475959,0.292146118721461
476046,0.292146118721461
476181,0.292146118721461
476200,0.292146118721461
476216,0.292146118721461
476217,0.292146118721461
476281,0.292146118721461
476616,0.292146118721461
476617,0.292146118721461
476687,0.292146118721461
476724,0.292146118721461
476728,0.292146118721461
476760,0.292146118721461
476846,0.292146118721461
476848,0.292146118721461
476849,0.292146118721461
476923,0.292146118721461
477000,0.292146118721461
477001,0.292146118721461
477003,0.292146118721461
477006,0.292146118721461
477007,0.292146118721461
477008,0.292146118721461
477009,0.292146118721461
477034,0.292146118721461
477043,0.292146118721461
477079,0.292146118721461
477227,0.292146118721461
477228,0.292146118721461
477229,0.292146118721461
477232,0.292146118721461
477339,0.292146118721461
477377,0.292146118721461
477403,0.292146118721461
477426,0.292146118721461
477535,0.292146118721461
477548,0.292146118721461
477549,0.292146118721461
477576,0.292146118721461
477622,0.292146118721461
477626,0.292146118721461
477627,0.292146118721461
477725,0.292146118721461
477728,0.292146118721461
477792,0.292146118721461
477858,0.292146118721461
478008,0.292146118721461
478009,0.292146118721461
478040,0.292146118721461
478128,0.292146118721461
478166,0.292146118721461
478200,0.292146118721461
478366,0.292146118721461
478367,0.292146118721461
478428,0.292146118721461
478463,0.292146118721461
478464,0.292146118721461
478533,0.292146118721461
478537,0.292146118721461
478539,0.292146118721461
478540,0.292146118721461
478590,0.292146118721461
478668,0.292146118721461
478708,0.292146118721461
478709,0.292146118721461
478710,0.292146118721461
478742,0.292146118721461
478743,0.292146118721461
478783,0.292146118721461
478865,0.292146118721461
478866,0.292146118721461
478869,0.292146118721461
478928,0.292146118721461
478984,0.292146118721461
479047,0.292146118721461
479079,0.292146118721461
479209,0.292146118721461
479284,0.292146118721461
479302,0.292146118721461
479395,0.292146118721461
479435,0.292146118721461
479466,0.292146118721461
479467,0.292146118721461
479481,0.292146118721461
479556,0.292146118721461
479606,0.292146118721461
479632,0.292146118721461
479633,0.292146118721461
479640,0.292146118721461
479761,0.292146118721461
479803,0.292146118721461
479860,0.292146118721461
479991,0.292146118721461
480044,0.292146118721461
480144,0.292146118721461
480236,0.292146118721461
