loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
0.00017277566636487003,cable1215695,,8,257,0.0201675785,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
6.335109256958081e-05,cable1113832,,1213,230,0.0273267605,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1482186600889621e-05,cable1197660,,402,720,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0004481086851023067,busbar83739,,1037,504,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.244772277593179e-07,busbar87086,,631,1211,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,simulated23030576_100934,,635,1234,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.741096461185044e-06,cable3336384,,837,935,0.0109955615,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759192288024561e-06,geo_schematic_cable342144,,129,481,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
4.9888441031331587e-05,geo_schematic_cable36502,,37,614,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.74108381822616e-06,cable2727645,,611,1095,0.0111768003,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759193830009203e-06,cable3338957,,972,293,0.026975281,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
4.592869891289765e-05,cable1199177,,19,374,0.0423828238,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665248683365866e-06,cable3338748,,793,503,0.0115025747,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.0963606491267804e-05,cable1138253,,168,258,0.055792946100000004,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.148218255921804e-05,cable1189721,,404,100,0.0181878867,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.58061465464564e-06,cable3338340,,721,971,0.013158845700000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665252018250194e-06,cable2085243,,163,232,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
,cable1508056,,324,843,0.059007925,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759201219740445e-06,cable1144167,,898,273,0.014026399299999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.74108558008885e-06,cable2729610,,635,922,0.0128098639,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665245755820081e-06,cable3338745,,793,615,0.0109809546,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.74108381822616e-06,cable3269443,,369,889,0.0120910668,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,geo_schematic_cable137654,,349,1146,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
7.254801826306074e-05,simulated22932783_101448,,1259,254,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
8.638785066237805e-05,cable1136753,,602,809,0.0703794618,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
2.3036748676717438e-05,cable1167879,,415,676,0.047322207,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759185462897783e-06,cable3338905,,466,981,0.0128090927,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
3.45551265118873e-05,cable1169351,,32,415,0.0254146243,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759176851435625e-06,cable3338954,,375,344,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.580620839915736e-06,cable3589940,,238,1219,0.011670133,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00017329756223957325,cable1210504,,904,255,0.015523881100000001,0.869,0.124,0.001,0.0,1000.0,1.0,1,,True
5.741086968357201e-05,simulated22958791_144043,,963,611,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518365111846388e-05,cable1171090,,676,143,0.0430140234,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
2.6099598841672802e-05,cable2798311,,129,144,0.011557246299999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0002015715919604776,simulated23032596_100931,,575,878,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.002264820269656775,cable3604370,,834,515,0.227717102,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
4.532201303381364e-05,cable1143314,,765,75,0.024559668899999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.662625604244002e-06,cable3339096,,762,1159,0.0112191123,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
,cable1508057,,539,467,0.0497932772,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0001245776386584494,geo_schematic_cable27947,,692,1102,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.543158313645772e-06,cable3341625,,550,723,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.580623927142638e-06,cable3771840,,83,941,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.491387649786295e-06,cable1151302,,805,489,0.122405194,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00010197448565611543,cable2863427,,801,731,0.0543997423,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,busbar254942,,35,1107,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759192288024562e-06,cable3338145,,116,1254,0.011526587100000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
