loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords,geometry
1.1518371818963944e-05,cable1225850,,430,520,0.018229978299999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777549598334,node67193235,11.0,b,,True,node67193235,11.0,b,,True,152.915464,-31.4687954,,POINT (152.915464 -31.4687954)
1.727755281602313e-05,cable2767008,,430,1180,0.013529849699999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777549598334,node67193235,11.0,b,,True,node67193235,11.0,b,,True,152.915464,-31.4687954,,POINT (152.915464 -31.4687954)
1.1518385384977102e-05,cable1186103,,430,22,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777549598334,node67193235,11.0,b,,True,node67193235,11.0,b,,True,152.915464,-31.4687954,,POINT (152.915464 -31.4687954)
6.912924526494048e-12,geo_schematic_cable34383,,656,864,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772553422426,node60063851,11.0,b,,True,node60063851,11.0,b,,True,152.922025,-31.4730672,,POINT (152.922025 -31.4730672)
5.580620839915737e-06,cable3339677,,1171,1219,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9819235009791385,cubicle111007,11.0,b,,True,cubicle111007,11.0,b,,True,152.921512,-31.4681558,,POINT (152.921512 -31.4681558)
5.759192288024562e-06,cable3338907,,632,767,0.010120904,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777271338,cubicle48208,11.0,b,,True,cubicle48208,11.0,b,,True,152.913302,-31.4664218,,POINT (152.913302 -31.4664218)
5.7591963494023805e-06,cable3338908,,632,391,0.0142718578,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777271338,cubicle48208,11.0,b,,True,cubicle48208,11.0,b,,True,152.913302,-31.4664218,,POINT (152.913302 -31.4664218)
0.0,cable1210321,,158,1150,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777112586482,node69936339,11.0,b,,True,node69936339,11.0,b,,True,152.912351,-31.466795,,POINT (152.912351 -31.466795)
1.1518379048554602e-05,cable1127874,,158,383,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777112586482,node69936339,11.0,b,,True,node69936339,11.0,b,,True,152.912351,-31.466795,,POINT (152.912351 -31.466795)
1.1518384980510526e-05,cable1136224,,158,494,0.0150601889,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777112586482,node69936339,11.0,b,,True,node69936339,11.0,b,,True,152.912351,-31.466795,,POINT (152.912351 -31.466795)
5.759198624444348e-06,cable3339037,,291,742,0.0114257019,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777961493033,node23220058,11.0,b,,True,node23220058,11.0,b,,True,152.916741,-31.4678253,,POINT (152.916741 -31.4678253)
6.335103072201616e-05,cable3339034,,291,1020,0.0392817439,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777961493033,node23220058,11.0,b,,True,node23220058,11.0,b,,True,152.916741,-31.4678253,,POINT (152.916741 -31.4678253)
1.727755793907909e-05,cable3339047,,291,155,0.0216386164,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777961493033,node23220058,11.0,b,,True,node23220058,11.0,b,,True,152.916741,-31.4678253,,POINT (152.916741 -31.4678253)
5.759185462897783e-06,cable3339036,,291,411,0.013410276700000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777961493033,node23220058,11.0,b,,True,node23220058,11.0,b,,True,152.916741,-31.4678253,,POINT (152.916741 -31.4678253)
5.759189524277302e-06,cable1213024,,99,331,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777315547484,node71578342,11.0,b,,True,node71578342,11.0,b,,True,152.913587,-31.4662831,,POINT (152.913587 -31.4662831)
0.00010942464428804859,cable1127361,,99,753,0.016717779,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777315547484,node71578342,11.0,b,,True,node71578342,11.0,b,,True,152.913587,-31.4662831,,POINT (152.913587 -31.4662831)
