,name,vn_kv,type,zone,in_service,x,y,coords
0,cubicle45944,11.0,b,,True,152.916557,-31.468613,
1,cn-cable3336717-t2,11.0,b,,True,152.921964,-31.4729717,
2,cn-busbar251728-t2,11.0,b,,True,152.896033,-31.4674971,
3,node69876678,11.0,b,,True,152.912397,-31.4676119,
4,cn-cable3341624-t2,11.0,b,,True,152.894796,-31.4632037,
5,node29539823,11.0,b,,True,152.899249,-31.4658981,
6,cn-simulated23378215_187645-t2,11.0,b,,True,152.920849,-31.4685414,
7,cubicle48514,11.0,b,,True,152.911607,-31.468507,
8,node29539706,11.0,b,,True,152.900617,-31.4664997,
9,cn-simulated70366883_652558-t2,11.0,b,,True,152.915957,-31.4676811,
10,cn-cable3338488-t2,11.0,b,,True,152.904895,-31.4640864,
11,cubicle40258,11.0,b,,True,152.916164,-31.4685439,
12,cubicle77073,11.0,b,,True,152.922017,-31.4684283,
13,cubicle69504,11.0,b,,True,152.904993,-31.4632555,
14,node245104988,11.0,b,,True,152.922551,-31.4686921,
15,node22958791,11.0,b,,True,152.922699,-31.4701031,
16,cubicle48302,11.0,b,,True,152.920973,-31.4700805,
17,node161553431,11.0,b,,True,152.909545,-31.4664216,
18,node67195658,11.0,b,,True,152.90654,-31.4649352,
19,cubicle111105,11.0,b,,True,152.922005,-31.4679911,
20,cubicle49326,11.0,b,,True,152.912506,-31.4660823,
21,cn-cable3338937-t2,11.0,b,,True,152.914798,-31.4665144,
22,node69935902,11.0,b,,True,152.920944,-31.4704128,
23,node29539546,11.0,b,,True,152.896277,-31.4622524,
24,cubicle50767,11.0,b,,True,152.912306,-31.4685162,
25,node83235270,11.0,b,,True,152.893649,-31.4661062,
26,node69936152,11.0,b,,True,152.921415,-31.4695426,
27,cn-cable3338172-t2,11.0,b,,True,152.916566,-31.4686192,
28,cn-geo_schematic_cable25611-t1,11.0,b,,True,152.895616,-31.4649294,
29,node67195412,11.0,b,,True,152.905968,-31.4662981,
30,node71578372,11.0,b,,True,152.91318,-31.4663343,
31,cubicle46713,11.0,b,,True,152.894904,-31.4624865,
32,cn-geo_schematic_cable23106-t2,11.0,b,,True,152.922366,-31.4684306,
33,cn-cable3338145-t2,11.0,b,,True,152.916561,-31.4683882,
34,node57577399,11.0,b,,True,152.906012,-31.4653247,
35,node24069238,11.0,b,,True,152.912278,-31.4676597,
36,node84230737,11.0,b,,True,152.903841,-31.4679035,
37,cn-cable3338868-t2,11.0,b,,True,152.912492,-31.4660061,
38,cubicle35729,11.0,b,,True,152.914423,-31.4688389,
39,node67195609,11.0,b,,True,152.90645,-31.4663312,
40,node67831042,11.0,b,,True,152.894447,-31.4624494,
41,cubicle38562,11.0,b,,True,152.906142,-31.465465,
