name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable3338201,,365,300,0.0119237902,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1508051,,125,1119,0.06741384480000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338959,,420,1217,0.012019954000000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338322,,12,1225,0.0126573637,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1137268,,897,505,0.0203154121,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable235949,,506,280,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2972153,,572,860,0.0203346388,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1149907,,22,1047,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar255622,,630,788,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338467,,363,1216,0.0114707563,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1155085,,390,558,0.0192030131,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable235928,,640,955,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3261195,,148,815,0.0726566057,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338205,,468,974,0.0118249263,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338253,,114,525,0.0110871083,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355183,,126,1230,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable23104,,319,116,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3295683,,1121,49,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1773,,1074,824,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable27945,,369,497,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2788550,,511,3,0.018688386300000002,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2798314,,524,447,0.050480413,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1135124,,123,242,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar84114,,35,909,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3977065,,1084,332,0.0151934883,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated23121435_58681,,963,1214,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338944,,313,879,0.0115655531,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar254543,,738,794,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355175,,340,953,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable22428,,916,574,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2767001,,422,133,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338225,,351,632,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338952,,500,710,0.015270430100000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1218154,,299,1067,0.0174050868,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1183177,,255,84,0.0206744714,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338474,,383,777,0.0124787873,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3255752,,559,781,0.021481574599999997,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3834169,,124,452,0.020098601299999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338686,,297,874,0.011748611199999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355178,,301,206,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338287,,227,750,0.0272990985,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1215695,,113,684,0.0201675785,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1192366,,296,257,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1246414,,622,233,0.016585059699999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated84142962_24068798,,272,1051,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3888529,,49,567,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
