name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point638529,700,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2494332,515,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point564657,947,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point669002,936,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point672734,594,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535397,661,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614121,1071,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584748,767,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2555827,939,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point656859,4,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point643305,181,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841948,746,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747047,908,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835292,590,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2583610,977,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1806232,993,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746639,1058,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point628787,1085,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point671493,1052,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842014,687,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point579295,1069,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747261,580,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point628697,1097,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841968,607,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747054,747,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point627535,1130,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point625093,513,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point582906,710,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point616542,588,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2602988,751,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2578160,311,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point659846,692,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point588310,856,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point611094,901,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point586558,145,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point661634,704,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point676356,863,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746836,320,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747833,177,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point659891,1194,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point598056,1155,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747276,354,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747308,724,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535401,328,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748588,1167,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point630694,1172,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point592076,922,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point652466,1244,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748089,874,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point614030,1231,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point575509,415,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point634194,1246,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point630481,1040,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point655230,1150,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747046,151,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2516294,600,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2584966,384,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point650517,1238,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point571846,778,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2588672,923,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747307,21,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point644016,432,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747057,941,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point651343,261,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535394,825,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point621324,431,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point617720,973,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1835297,406,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747526,931,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842332,868,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point645686,979,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point630568,1061,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point631193,131,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point573775,798,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point628742,1223,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point604888,749,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842235,1033,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841175,1137,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535395,1225,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point583558,1251,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748484,382,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point592693,570,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748077,657,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747267,774,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point613226,1208,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point670772,975,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point654382,1082,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point632440,362,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point575555,514,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747257,610,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point598246,312,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535402,1146,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point667159,414,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1830899,928,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1842089,485,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747271,471,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point629384,599,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point643346,528,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point586605,675,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point571934,605,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748085,683,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1746834,1175,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point625044,976,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748091,1049,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point674474,81,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584018,1106,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point590169,95,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point637864,812,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2535396,1145,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point658685,904,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point669650,1260,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point597594,1197,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point655021,978,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point592028,539,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747053,637,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point575598,662,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point670904,1000,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point672644,61,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point652511,109,0.001,0.0003,0.0,0.0,,1.0,True,wye
