name,std_type,hv_bus,lv_bus,sn_mva,vn_hv_kv,vn_lv_kv,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_step_degree,tap_pos,tap_phase_shifter,parallel,df,in_service,vector_group
substation_site324538,,512,1182,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
substation_site210792,,892,889,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer3405,,894,909,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer3536,,654,847,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
substation_site202755,,893,566,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer3611,,822,1242,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
substation_site199824,,1096,1110,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
substation_site245936,,1083,1136,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
substation_site203086,,840,745,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer52661,,62,1072,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer3375,,184,1179,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer3488,,806,55,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer3382,,929,556,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
transformer55043,,577,1230,0.01,11.0,11.0,1.0,0.2,0.03,1.0,0.0,,,,,,,,False,1,1.0,True,Dyn
